Lab session id: phase0-20260708-khai
Captured at: 2026-07-08 10:27:10 +07:00
Evidence item: host-listening-ports-netstat


Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1656
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       9344
  TCP    0.0.0.0:8081           0.0.0.0:0              LISTENING       8868
  TCP    0.0.0.0:9090           0.0.0.0:0              LISTENING       27656
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1356
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1188
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2332
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       3944
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       5600
  TCP    0.0.0.0:49670          0.0.0.0:0              LISTENING       1300
  TCP    127.0.0.1:902          0.0.0.0:0              LISTENING       5680
  TCP    127.0.0.1:912          0.0.0.0:0              LISTENING       5680
  TCP    127.0.0.1:5037         0.0.0.0:0              LISTENING       10276
  TCP    127.0.0.1:5037         127.0.0.1:58206        ESTABLISHED     10276
  TCP    127.0.0.1:8081         127.0.0.1:54102        ESTABLISHED     8868
  TCP    127.0.0.1:8081         127.0.0.1:54105        ESTABLISHED     8868
  TCP    127.0.0.1:9090         127.0.0.1:54104        ESTABLISHED     27656
  TCP    127.0.0.1:50063        0.0.0.0:0              LISTENING       22280
  TCP    127.0.0.1:51500        127.0.0.1:56832        ESTABLISHED     14692
  TCP    127.0.0.1:53428        127.0.0.1:53429        ESTABLISHED     10276
  TCP    127.0.0.1:53429        127.0.0.1:53428        ESTABLISHED     10276
  TCP    127.0.0.1:54102        127.0.0.1:8081         ESTABLISHED     10276
  TCP    127.0.0.1:54104        127.0.0.1:9090         ESTABLISHED     10276
  TCP    127.0.0.1:54105        127.0.0.1:8081         ESTABLISHED     10276
  TCP    127.0.0.1:55342        127.0.0.1:56832        ESTABLISHED     27664
  TCP    127.0.0.1:56829        0.0.0.0:0              LISTENING       14692
  TCP    127.0.0.1:56829        127.0.0.1:56839        ESTABLISHED     14692
  TCP    127.0.0.1:56829        127.0.0.1:56840        ESTABLISHED     14692
  TCP    127.0.0.1:56829        127.0.0.1:56841        ESTABLISHED     14692
  TCP    127.0.0.1:56829        127.0.0.1:56842        ESTABLISHED     14692
  TCP    127.0.0.1:56829        127.0.0.1:62406        ESTABLISHED     14692
  TCP    127.0.0.1:56830        0.0.0.0:0              LISTENING       14692
  TCP    127.0.0.1:56832        0.0.0.0:0              LISTENING       1876
  TCP    127.0.0.1:56832        127.0.0.1:51500        ESTABLISHED     1876
  TCP    127.0.0.1:56832        127.0.0.1:55342        ESTABLISHED     1876
  TCP    127.0.0.1:56833        0.0.0.0:0              LISTENING       1876
  TCP    127.0.0.1:56839        127.0.0.1:56829        ESTABLISHED     1876
  TCP    127.0.0.1:56840        127.0.0.1:56829        ESTABLISHED     1876
  TCP    127.0.0.1:56841        127.0.0.1:56829        ESTABLISHED     1876
  TCP    127.0.0.1:56842        127.0.0.1:56829        ESTABLISHED     1876
  TCP    127.0.0.1:58205        0.0.0.0:0              LISTENING       27664
  TCP    127.0.0.1:58205        127.0.0.1:58214        ESTABLISHED     27664
  TCP    127.0.0.1:58205        127.0.0.1:58215        ESTABLISHED     27664
  TCP    127.0.0.1:58205        127.0.0.1:58216        ESTABLISHED     27664
  TCP    127.0.0.1:58205        127.0.0.1:58217        ESTABLISHED     27664
  TCP    127.0.0.1:58206        127.0.0.1:5037         ESTABLISHED     12840
  TCP    127.0.0.1:58210        0.0.0.0:0              LISTENING       10716
  TCP    127.0.0.1:58210        127.0.0.1:58235        ESTABLISHED     10716
  TCP    127.0.0.1:58211        0.0.0.0:0              LISTENING       10716
  TCP    127.0.0.1:58214        127.0.0.1:58205        ESTABLISHED     10716
  TCP    127.0.0.1:58215        127.0.0.1:58205        ESTABLISHED     10716
  TCP    127.0.0.1:58216        127.0.0.1:58205        ESTABLISHED     10716
  TCP    127.0.0.1:58217        127.0.0.1:58205        ESTABLISHED     10716
  TCP    127.0.0.1:58232        0.0.0.0:0              LISTENING       10716
  TCP    127.0.0.1:58232        127.0.0.1:58234        ESTABLISHED     10716
  TCP    127.0.0.1:58234        127.0.0.1:58232        ESTABLISHED     27664
  TCP    127.0.0.1:58235        127.0.0.1:58210        ESTABLISHED     27664
  TCP    127.0.0.1:62406        127.0.0.1:56829        ESTABLISHED     1876
  TCP    169.254.218.41:139     0.0.0.0:0              LISTENING       4
  TCP    172.24.32.1:139        0.0.0.0:0              LISTENING       4
  TCP    192.168.6.33:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.6.33:49447     4.213.25.242:443       ESTABLISHED     6312
  TCP    192.168.6.33:49671     192.168.6.17:8009      ESTABLISHED     12812
  TCP    192.168.6.33:50072     104.18.32.47:443       ESTABLISHED     25660
  TCP    192.168.6.33:50347     172.64.155.209:443     ESTABLISHED     12812
  TCP    192.168.6.33:50834     172.188.155.25:443     ESTABLISHED     12812
  TCP    192.168.6.33:50991     104.18.32.47:443       CLOSE_WAIT      25660
  TCP    192.168.6.33:51085     35.190.80.1:443        TIME_WAIT       0
  TCP    192.168.6.33:51092     104.18.32.47:443       ESTABLISHED     25660
  TCP    192.168.6.33:51099     104.18.32.47:443       TIME_WAIT       0
  TCP    192.168.6.33:51100     104.18.32.47:443       TIME_WAIT       0
